2019-11-13 00:52:14.034 DEBUG 32439 --- [           main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: [file:/Users/jinhobae/git/repository/review/target/surefire/surefirebooter1203842636499560012.jar]
2019-11-13 00:52:14.043 DEBUG 32439 --- [kground-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2019-11-13 00:52:14.051 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2019-11-13 00:52:14.140  INFO 32439 --- [           main] c.chicken.review.ReviewApplicationTests  : Starting ReviewApplicationTests on jinhoui-MacBookPro.local with PID 32439 (started by jinhobae in /Users/jinhobae/git/repository/review)
2019-11-13 00:52:14.141 DEBUG 32439 --- [           main] c.chicken.review.ReviewApplicationTests  : Running with Spring Boot v2.1.9.RELEASE, Spring v5.1.10.RELEASE
2019-11-13 00:52:14.141  INFO 32439 --- [           main] c.chicken.review.ReviewApplicationTests  : No active profile set, falling back to default profiles: default
2019-11-13 00:52:14.142 DEBUG 32439 --- [           main] o.s.boot.SpringApplication               : Loading source class com.chicken.review.ReviewApplication
2019-11-13 00:52:14.158 DEBUG 32439 --- [           main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/Users/jinhobae/git/repository/review/target/classes/application.properties' (classpath:/application.properties)
2019-11-13 00:52:14.159 DEBUG 32439 --- [           main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@4bff7da0
2019-11-13 00:52:14.172 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2019-11-13 00:52:14.182 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2019-11-13 00:52:14.209 DEBUG 32439 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jinhobae/git/repository/review/target/classes/com/chicken/review/config/ErrorConfiguration.class]
2019-11-13 00:52:14.210 DEBUG 32439 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jinhobae/git/repository/review/target/classes/com/chicken/review/config/StaticResourceConfiguration.class]
2019-11-13 00:52:14.211 DEBUG 32439 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jinhobae/git/repository/review/target/classes/com/chicken/review/config/TilesConfig.class]
2019-11-13 00:52:14.214 DEBUG 32439 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jinhobae/git/repository/review/target/classes/com/chicken/review/config/WebSecurityConfig.class]
